word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
g1 u1 t͡ʃ a,4,2.104553014950483,-inf,1.1200628343434518,-inf,1.346964383046699,-inf,1.1701030927835052,-inf,1.4013481557049345,-inf,1.130232558139535,-inf,1.0226811302381744,-inf,1.0012183415786753,-inf,1.0222238207876508,-inf,1.0007687028140013,-inf
l o t͡ʃ1 e1,4,2.1297986846633274,-inf,1.1806555020690381,-inf,1.1692345484284947,-inf,1.1010526315789473,-inf,1.3426568039216358,-inf,1.2513338414634148,-inf,1.02162126776148,-inf,1.001772133205346,-inf,1.0097112849786098,-inf,1.0072422786547701,-inf
t͡ʃ1 u1 t͡ʃ u,4,3.0253412610407984,-inf,1.0468862988889343,-inf,1.0040983606557377,-inf,1.0,-inf,1.0019893899204244,-inf,1,-inf,1.000074892342258,-inf,1.0,-inf,1.0000253889803363,-inf,1,-inf
d1 o1 ɾ i,4,1.1114499292624171,-14.77140956354508,1.1574708133249156,-13.706259030723603,1.2145203864826972,-17.023958754197164,1.184191402300288,-8.600346755994494,1.3575032582696922,-15.635681027307262,1.3649772570439176,-6.422601819258091,1.019108723733234,-30.730217784920768,1.0063428608205345,-19.445060786051513,1.0081329367010403,-33.05996953732974,1.0082635552505148,-17.889712439057277
n1 o1 l u,4,1.0840486751041947,-15.55241026444088,1.0859317431504902,-16.34467489616559,1.3040249688729422,-18.876992081618432,1.2957629839949973,-7.961498851179035,1.0828950784957894,-22.66903759309162,1.085558408184581,-10.693005451942373,1.0080135605577323,-35.221666977784025,1.0034925824619623,-20.296100492304802,1.0021326743482437,-40.874326804009904,1.0020700068634179,-21.934448487647465
u i s1 a1,4,1.1298130233625205,-14.151682453331528,1.1656737271325814,-13.989998882344434,1.2371876381770606,-19.496988550991166,1.23111689637016,-9.509137622240193,1.2658353897146786,-17.084435740956877,1.2440752817449612,-8.431147339749039,1.0148221996284006,-33.48698743333561,1.00757447483288,-20.85778840423956,1.007447434231962,-33.88899714076581,1.007083047357584,-19.23441381492555
u1 i1 u o,4,1.1358496157228617,-14.654569709164019,1.1113440904937717,-15.905978009270104,1.2455481672474655,-inf,1.019047619047619,-inf,1.3913597430578273,-24.344404891506368,1.0326966883813362,-17.74579492223894,1.016192294262263,-inf,1.0000738388835562,-inf,1.0236794556602615,-41.651853547147795,1.0004337680164723,-29.39325842226299
g1 u1 d i,4,1.0898701869766374,-16.402548724794613,1.1081343803041146,-15.562783222027944,1.5342889197725589,-15.168723737905278,1.50846846145811,-6.25321281528152,1.3170165894508707,-16.626933067621778,1.3013247467501574,-7.152182712548935,1.0149756011977837,-30.731506959933224,1.00678543929033,-18.952156737347117,1.0056067331575853,-35.6823607388938,1.0056664378860671,-20.01791041690448
m1 u1 ɲ u,4,1.035105915191374,-20.50110980570106,1.0637193621981256,-18.0491493771637,1.2457990395121257,-inf,1.226731964756921,-inf,1.0831737507039463,-inf,1.0667086410737783,-inf,1.0184888913793253,-inf,1.0034337076277446,-inf,1.0022680822433703,-inf,1.0006808510638296,-inf
n i f1 u1,4,1.098220089473483,-16.627033636842878,1.0917625136302809,-16.79454239530819,1.2230832911622584,-18.09734986730234,1.1907534853206494,-9.737203373439797,1.1763002106394904,-19.952221584065292,1.1653352891004618,-10.4666920166947,1.0124433024145505,-34.891892262610526,1.0017443119581542,-22.414762747137917,1.0033259564240464,-39.232134167385574,1.0026684969114619,-22.33522771292158
k1 a1 ɲ o,4,1.132561274041219,-17.254872451292325,1.119752613775579,-16.15975849045033,1.8960508369986389,-12.29146053727016,1.6488160068035276,-7.069347456588587,2.037086358182758,-12.007559677320504,1.6627316936574101,-7.216160850092459,1.0439447873051313,-28.451219027720487,1.0073947941540176,-20.314293838266007,1.0293200407916285,-31.915311075090234,1.0047110501029515,-21.47764095559521
ɲ u i1 u1,4,1.063898023171338,-19.05520553619528,1.0808467967076305,-inf,1.030586708481658,-inf,1.0079765442516295,-inf,1.0254584352614675,-inf,1.0168131544640229,-inf,1.0005594580049542,-inf,1.0001868038974875,-inf,1.000389297698489,-inf,1.0003953328757722,-inf
i1 a1 m i,4,1.1538685810423277,-13.15768108781313,1.140352158355821,-14.415603655222528,1.3919023858540438,-15.853922947947591,1.3690319229844417,-6.838593432612235,1.2153309891343438,-17.896300253289034,1.2001990564817608,-8.312371614398165,1.0153459415115218,-30.26952660317012,1.00775158190862,-18.404101771812773,1.007045442043305,-33.706860287579566,1.0076211393273853,-17.956335356819007
m1 u1 g e,4,1.115134974955072,-16.583881150243098,1.1495561557928218,-14.412546228475803,1.3860833262423724,-15.765045808579535,1.2942250066226988,-8.99402284911176,1.3601217860756163,-16.24787740838167,1.1287058671486743,-10.502681570810793,1.026527364487684,-30.177592037055337,1.0044800656285695,-21.011188000080807,1.0195622093490686,-35.48463750510217,1.0012244337680163,-24.25611084749243
r1 u1 t͡ʃ a,4,2.10200550606049,-inf,1.121243689725569,-inf,1.3063607297161077,-inf,1.1283185840707965,-inf,1.3638121060740587,-inf,1.0896057347670252,-inf,1.023714378697527,-inf,1.0010706638115632,-inf,1.0219783939777338,-inf,1.0002745367192862,-inf
d1 e1 g e,4,1.1397831988681986,-15.156023599539617,1.1454227368893257,-14.68830538288657,1.4511003500763267,-14.427336777543967,1.3630992803597022,-7.399724869880993,1.4686418127776546,-14.720834733071117,1.259450108552882,-8.565356121042118,1.0237970083493617,-29.115642160430536,1.0049990330085254,-19.704936346634454,1.0209628347642845,-32.52973727908814,1.0035250514756349,-21.056908844656842
s a n1 i1,4,1.2222880740259245,-12.032154484232311,1.2436237348750594,-11.682419279392708,1.4200178382608983,-14.297174400733677,1.3519828981702209,-7.321611732918887,1.213951949217806,-17.069998479895837,1.211076767624176,-9.075609694158945,1.072980792593839,-25.979593680126385,1.0167745552711984,-16.207844137200105,1.0135704099897171,-31.75503191060555,1.008636925188744,-18.46540742310994
t͡ʃ a b1 a1,4,2.147425725538179,-inf,1.1983011192738666,-inf,1.2765314638685668,-inf,1.2709005369936617,-inf,1.2860255139920518,-inf,1.2658235435147445,-inf,1.0099539411684268,-inf,1.0095443779095925,-inf,1.0048958417081706,-inf,1.0047879203843515,-inf
k1 u1 b i,4,1.0833174014453406,-16.207312255630267,1.1446174792820876,-13.502562835773762,1.5336481647215618,-13.46622173640474,1.4907619551886877,-5.776606494569342,1.4177095044987909,-15.048885468053422,1.385050104803614,-6.801946970671164,1.0397455639929163,-26.968784572178507,1.0143574242061568,-16.41533003038076,1.0080610012567548,-33.90907667016109,1.0062868908716542,-19.470522028960133
p e i1 a1,4,1.1938400948265973,-12.66930415496542,1.3315720444402883,-10.899894046364807,1.4250399160201324,-16.01256646590937,1.346355127391871,-8.430968061834639,1.4225619877143487,-15.600462523510751,1.3223285819231676,-9.168581316532729,1.0965494278583334,-26.912460512274173,1.0212997126560892,-16.67721780455181,1.0166847915776291,-30.922645624953574,1.008955387783116,-18.66201862048699
b u t͡ʃ1 u1,4,2.044555117959699,-inf,1.101222215787928,-inf,1.1413971895516732,-inf,1.0767195767195767,-inf,1.0908939764531742,-inf,1.0402985074626865,-inf,1.0454314748852078,-inf,1.0032119914346895,-inf,1.0055686496870808,-inf,1.0008894989704873,-inf
t͡ʃ i ɲ1 o1,4,2.06309027645012,-inf,1.0833700977935128,-inf,1.2773007819363908,-inf,1.1630192307692309,-inf,1.2920454733260534,-inf,1.1573721244379929,-inf,1.0031728609415298,-inf,1.000781673053977,-inf,1.0024669625893377,-inf,1.0002251201098147,-inf
i1 a1 m u,4,1.1252246396206935,-14.251973715336721,1.1010336786703687,-15.56352639943497,1.288763759127569,-18.551081803409414,1.2806505922992382,-8.00952638285997,1.141998165093524,-20.78984158594648,1.135765057265153,-9.496845193672666,1.0110401849365724,-34.11460820284438,1.004418872678139,-19.575034722060508,1.0052597504263234,-37.69469424776061,1.005814687714482,-19.14080893609351
x1 o1 f o,4,1.1014176193935687,-17.348025162669533,1.095194306839395,-16.657936889668658,1.5470639845278125,-15.88281823936566,1.3199867795994835,-8.903905406778353,1.5718632502533194,-17.066147689724833,1.2132036146743146,-10.413391543802309,1.0187066170493853,-32.54075512903432,1.002348446549531,-22.646274548122644,1.0243564951358946,-37.06705179887177,1.0012738503774878,-24.87182628791956
t͡ʃ1 a1 d o,4,2.152219630635109,-inf,1.1082802751157808,-inf,1.3581204125015691,-inf,1.1353647023869424,-inf,1.9084676407038934,-inf,1.5583984839283125,-inf,1.014648197690955,-inf,1.0024999273443362,-inf,1.0404319511854538,-inf,1.0227590940288265,-inf
