word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
R G IY B IH D,6,1.2221589392186527,-20.629391923177934,1.1979427070513,-21.993956098458384,1.743722567233552,-inf,1.2268396569670028,-inf,1.4976343412405115,-24.4792328623886,1.176216044559002,-19.591129663361663,1.085925920275261,-inf,1.0087610877356827,-inf,1.0203590697388445,-47.98067229226035,1.0064887028934966,-36.68348823693769
R G EH P IH D,6,1.2280412921598294,-20.344278155661637,1.225579699726005,-20.831843976311546,1.7088794025982346,-inf,1.183863070845313,-inf,1.4886208158602239,-22.642586919260886,1.1627475477515758,-18.323353838976818,1.0863759366681467,-inf,1.009247001078211,-inf,1.020966229614031,-45.858912581616345,1.007323568575233,-34.561728526293685
R L IY G IH F,6,1.2413811515529056,-20.28565934832372,1.2069827801608202,-21.488935428625666,1.2478026680509724,-inf,1.1185399627170372,-inf,1.2540761801851454,-25.94910411716159,1.1540263800091144,-19.424679568690387,1.0657478129818765,-inf,1.0052108615918023,-inf,1.0140107905375286,-49.106810972179126,1.0065204066535625,-35.85015370125354
R L EH Z IH G,6,1.2297410340838304,-20.89706742180224,1.2047818238813184,-22.00805886829721,1.3993940542277383,-inf,1.2422773885451235,-inf,1.2973851159767913,-24.513889783691905,1.2200316237640565,-18.27729831318684,1.0677528483983487,-inf,1.0069537132941493,-inf,1.0138417080406412,-48.283004712187974,1.0066789254538921,-34.70881240566092
R N EH P IH D,6,1.2893209931476375,-18.5709160515733,1.274130506086668,-18.78034836502227,1.7103378488349652,-inf,1.1850280365526606,-inf,1.4914663968108621,-22.186486195184138,1.1716843507249912,-17.592094300542982,1.087221769531573,-inf,1.0101066491955817,-inf,1.0220652658437988,-43.629449753451254,1.0088347811383764,-32.3322656981286
R N AA S IH P,6,1.3063896057666637,-18.3454028712743,1.25570510980165,-19.88672839527972,1.3317567198993738,-inf,1.2168704270971453,-inf,1.3128720537676044,-23.528868855575595,1.2023978154597197,-17.527158070815496,1.0689991706528776,-inf,1.0090858259743618,-inf,1.0181917395514704,-44.74631923354372,1.010747574662355,-32.21179668005133
SH L IY B IH D,6,1.223858681142654,-20.444147165148532,1.1850021252464233,-22.035118499721982,1.7521776691943582,-inf,1.2874457175730634,-inf,1.485149991842029,-inf,1.2375975947162745,-inf,1.0374603582064843,-inf,1.0115119617112687,-inf,1.015586331985797,-inf,1.0095216959398052,-inf
SH L EH Z IH G,6,1.1893654890095224,-22.183825470101944,1.153609596649578,-23.89587646052078,1.348221826995998,-inf,1.2422773885451235,-inf,1.242224375662728,-inf,1.2158249941157306,-inf,1.0165806211666084,-inf,1.0069537132941493,-inf,1.0066710730590098,-inf,1.0064147274533426,-inf
SH M IY G IH F,6,1.1796119960843643,-22.06964617770328,1.131563344177529,-24.140669272297387,1.1610031116266855,-inf,1.0821926622187934,-inf,1.175449129263783,-inf,1.1086936114716008,-inf,1.0123764203052281,-inf,1.0029757764866387,-inf,1.0051493305870238,-inf,1.003931266248177,-inf
SH M AA T IH F,6,1.2224526119070926,-20.88892761452056,1.2038397132762468,-22.273638761650304,1.3201397381161517,-inf,1.2745416199685582,-inf,1.3155705801074447,-inf,1.299763039936222,-inf,1.023875492152378,-inf,1.0166095189748339,-inf,1.0131115790768097,-inf,1.0148796313909496,-inf
SH N IY G IH F,6,1.2202100204680966,-21.271058098864188,1.1661297138628792,-23.17191260051993,1.1410516946226368,-inf,1.0620030781028382,-inf,1.176143209179506,-inf,1.1166865517261435,-inf,1.0120944760174195,-inf,1.0026892271141818,-inf,1.006302165793074,-inf,1.005516454251474,-inf
SH N EH P IH D,6,1.2489454480733295,-19.857674099873,1.2229582788549276,-20.66816595724584,1.659165621603225,-inf,1.1850280365526606,-inf,1.430721738181547,-inf,1.1615884395690095,-inf,1.0360495422998326,-inf,1.0101066491955817,-inf,1.0146256359807555,-inf,1.0082007059370575,-inf
SH R IY B IH D,6,1.2250333718964137,-20.42286290471971,1.23011321129582,-21.345081741576422,1.8860198219448139,-18.978193400326752,1.4211424869287475,-13.276234582498624,1.61308670580045,-22.988210395326117,1.352219970212475,-16.188209457963115,1.044226512648091,-40.323275141903174,1.0183744103793597,-31.095539486001897,1.0214427348325315,-46.283120806739646,1.0175744509965547,-33.09811915919342
SH R EH P IH D,6,1.2309157248375904,-20.137749137203418,1.2577502039705248,-20.182969619429585,1.824836725501907,-19.424264522047793,1.3513517648406337,-13.781855739751467,1.495909691268918,-22.572285123041066,1.2245093101086348,-16.341154304420932,1.0436051407473035,-39.607234141477385,1.017771436106552,-30.3794984855761,1.0171311311619042,-45.5820817669383,1.0116458478642232,-32.39708011939208
SH W EH P IH D,6,1.1813117380083655,-22.33848978017252,1.1782419148084633,-22.29084909642996,1.7701642720755595,-inf,1.2959391667923768,-inf,1.5313948402955713,-inf,1.2549831302038028,-inf,1.0365006531603265,-inf,1.0105651281915127,-inf,1.0141414451942143,-inf,1.0075349269756726,-inf
SH W AA S IH P,6,1.1983803506273918,-22.112976599873523,1.1598165185234455,-23.39722912668741,1.4756587166892259,-inf,1.4118674273840743,-inf,1.3735880670312377,-inf,1.3079398470133015,-inf,1.0192930537177427,-inf,1.0105758827111375,-inf,1.0105830271915397,-inf,1.0098810052205525,-inf
S M IY B IH D,6,1.2466494616000714,-19.588564889235286,1.2570128064858554,-20.352937376553882,1.8245729358751475,-20.03244260312457,1.2628631229571725,-16.774618203776043,1.5625712008553423,-23.04867742454607,1.202328247816507,-18.43204885551018,1.1327589384784384,-40.385379979678454,1.0105174314724634,-33.60374169839342,1.027260709839064,-45.509289820475175,1.0075243590556506,-34.7703855475452
S M AA T IH F,6,1.2666370027587435,-19.536116557527457,1.30009760326723,-19.827541387034053,1.4281623339894876,-21.803325343880605,1.286306325850911,-16.667575358763983,1.4164580997280571,-22.238759200558725,1.305619831925642,-16.548772671546132,1.1213732378692403,-41.63086673091466,1.0178500738411922,-31.676396563262834,1.0264767818989502,-44.64692326477999,1.015207236911631,-31.948545776247094
S N IY G IH F,6,1.2643944113197474,-19.918247041871087,1.2623876038538622,-20.72581522590368,1.2592347183034593,-26.755486233157132,1.0839282117926778,-21.657586753768435,1.2786735006041807,-25.471501762778537,1.1246215602279384,-19.334695450812216,1.1106630062248137,-47.481301459060816,1.0050011702742134,-37.52683129140898,1.019751909863658,-48.26179631134343,1.0059603068923972,-35.56341882281053
S N AA S IH P,6,1.3101984515440066,-18.279349862580897,1.3007907725608927,-19.32844861288704,1.398767516348456,-22.9727912832693,1.238795560786985,-17.95935647487663,1.3546576865629638,-23.393317025815048,1.2002369128055328,-17.768004151245556,1.1163954736285315,-42.30123989615634,1.0113977691343934,-32.46455276416089,1.0242018537590112,-44.54471439508977,1.0105573521019593,-32.568471623990064
