word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
v ø l i c,5,1.0988769167375352,-23.521629066683385,1.1642026037351005,-21.070768809205294,1.0670939767381609,-inf,1.002858776443682,-inf,1.0422554416046017,-inf,1.007876823196927,-inf,1.0172946915693313,-inf,1.0003260515161396,-inf,1.002557853515728,-inf,1.0002406134597077,-inf
ɫ a c y c,5,1.2108433206792857,-22.026637500586894,1.303338955612124,-22.112161031115207,1.2967626609459197,-inf,1.2379621720193599,-inf,1.2294894199141015,-inf,1.2233359943258229,-inf,1.0143059167070687,-inf,1.0029370543066431,-inf,1.0098843306949965,-inf,1.0114866773373505,-inf
ɫ a t a j,5,1.4053708103558622,-13.539207723328193,1.5581158667217818,-13.988196773935826,1.5917398789058292,-16.30596198527382,1.4914466900129026,-9.36584889320471,1.5378764382988535,-16.70963205807083,1.5674953920035695,-8.693884953699815,1.0483743941964008,-30.294158759209644,1.0364821239096453,-19.484977870572273,1.0313582277621423,-32.96990677044341,1.0395129146659134,-18.551769878073078
k u ɾ i n,5,1.2652440360859538,-14.89701971471122,1.5007331881655468,-11.705855906891408,1.9537245809281831,-11.899466749531392,1.500559531663212,-8.510408589590082,1.7958942185888116,-12.94195303395921,1.4788402417854867,-8.701676964212503,1.1829463594502159,-23.605322656422796,1.0493627462694506,-17.581335187330996,1.0441324047595693,-30.560039737714817,1.0239776543326118,-20.613132081971077
b o p ɯ z,5,1.119962125529322,-18.80572539465341,1.2287916059057706,-15.95375269237959,1.8383313497034752,-14.759760535817064,1.280520035623352,-11.163099657541544,1.550659277049535,-15.575160863623148,1.270200169065244,-10.87844888967142,1.0891655644029623,-30.713513228196653,1.014936867151038,-23.133966383643717,1.0180483351316276,-37.10195324732094,1.0067476383265856,-25.598211575693934
t i k u ɾ,5,1.2724419389624848,-14.757321292630818,1.3425309336547508,-13.544276844331755,1.7009979152950716,-14.83691154005622,1.3085912949823175,-10.997646038694393,1.6631148157206677,-13.776182245400546,1.4894867370995204,-8.638429110260098,1.116931204125661,-28.381188384387976,1.0178435286691223,-21.94469311803135,1.0367380199648388,-31.25457052707575,1.0229210474008517,-20.757121496529656
b o ʒ i l,5,1.1264761837963895,-21.431083494530565,1.2532448349058904,-18.722132747425796,1.9626378951514896,-17.4757439560604,1.4225887433131443,-13.847739474315087,1.6432634009601554,-17.705568653800018,1.389509621078494,-13.102650924812345,1.0790740079193741,-36.1978767034862,1.0092351210095205,-27.972329456799017,1.013294802049301,-41.857719137374964,1.0035150488026865,-29.464837722939752
n u v ø h,5,1.115473299374896,-19.914181691206203,1.1319802610032075,-20.70844016621776,1.3831265028387092,-inf,1.0594177715143138,-inf,1.147579531981541,-inf,1.0436069643458574,-inf,1.0267058559819031,-inf,1.0023941627725557,-inf,1.005304339296628,-inf,1.0014332193034765,-inf
b y ʒ u ʒ,5,1.0771253978134505,-23.866384100399888,1.1812596797175028,-21.174627639423548,1.703622336668925,-inf,1.0448020633305046,-inf,1.4309775266445284,-23.067365963329934,1.1323953720685527,-18.512297227459566,1.0692338456179311,-inf,1.0029253067504076,-inf,1.0102766858065537,-49.654817052774206,1.0011402985699192,-35.78211521920828
b a ɟ ø ʒ,5,1.1695671614311638,-24.86506702537125,1.3358300822798563,-23.294679789616943,1.9701401408995005,-inf,1.311322428305765,-inf,1.6406744818489287,-inf,1.3196333442788482,-inf,1.0869364784096667,-inf,1.0206378838430394,-inf,1.0158224744026016,-inf,1.0088294678257959,-inf
b ɯ d a ʒ,5,1.223608420055935,-19.12602055601626,1.3411283852127902,-16.986305079200275,1.916857668445843,-18.08016951279482,1.2642851654813474,-14.676615793001705,1.5789302118735575,-20.08567575275351,1.2613372015962012,-15.60860983267689,1.076205219114091,-35.066474591995096,1.0103448182681387,-25.454632984188027,1.0152716681883003,-41.932763297814155,1.008065781627593,-28.06006146424823
j o c ø f,5,1.0709883308054462,-23.34087968343175,1.1207079699595697,-22.494307327404428,1.5553410103032752,-inf,1.15062442105989,-inf,1.29670970673388,-inf,1.1015485178203048,-inf,1.046236709415131,-inf,1.0033803356800999,-inf,1.0089562599503519,-inf,1.002604902237705,-inf
n u c i v,5,1.1620098017727356,-20.145747666853378,1.2126077521025955,-19.09089531852612,1.145719682525466,-inf,1.0463414088066898,-inf,1.0770522738427493,-inf,1.0315769661156469,-inf,1.023142224305625,-inf,1.0022042581137438,-inf,1.0043460873895558,-inf,1.0016215254893346,-inf
n e m ø h,5,1.202724857751554,-17.63893282018263,1.2573677552147065,-19.274954403437924,1.6474838041273614,-inf,1.3240431334835208,-inf,1.2650175618022201,-23.558108707134007,1.2007002137102942,-16.593559696001552,1.0399736230619832,-inf,1.0157239137890697,-inf,1.012095100842809,-43.91810851636102,1.0108485285963866,-30.2110405561468
n ɯ ʒ ɯ ʒ,5,1.123197236566399,-22.414816280194614,1.1290677347665397,-22.417886263533664,1.6300069588823298,-inf,1.0161725067385445,-inf,1.3023053477547206,-inf,1.0322751986179466,-inf,1.021648263842751,-inf,1.0003249566724437,-inf,1.0039461869873916,-inf,1.00105660693176,-inf
b o ʒ a n,5,1.234655140670343,-18.879077386787042,1.3952268910920227,-16.188912718512597,1.7298879446258706,-16.69921364063373,1.3263256623551107,-12.747867404208835,1.6757909052426,-15.653898437212243,1.3923093230199757,-11.147149090361875,1.1225227577321046,-32.88812635914633,1.034064398232142,-26.348002931871168,1.0361193061350757,-37.25404281304366,1.0213622906401363,-26.79099919911658
